date_i,n_clouds,LCL_srf,z_cloudbase,dLCL_decoupling,z_inv_base,z_inv_top,sfc_inversion,top_inversion,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,BLwnd_dir_avg,BLwnd_spd_avg,dq_decoupling,dtheta_decoupling,wellmixed_dtv,decoupled_dtv,wellmixed_dLCL,decoupled_dLCL
29-Jan-2014 00:00:00,NaN,1270.03183568048,NaN,NaN,354,587,0,0,7.09149700598803,-3.01282013830126,4.07867686768677,290.315269461078,6.61475331164905,313.468091093337,38.7772273418329,7.40683233532934,NaN,NaN,0,0,0,0
29-Jan-2014 12:00:00,NaN,2386.3466982313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
30-Jan-2014 00:00:00,NaN,1276.31779565191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
30-Jan-2014 12:00:00,NaN,1529.39218843742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
31-Jan-2014 00:00:00,NaN,1027.93544318164,NaN,NaN,323,568,0,0,11.391897689769,-0.883668823789595,10.5082288659794,295.896534653465,7.06660231181473,313.352040472299,344.063331734939,2.41054125412541,NaN,NaN,0,0,0,0
01-Feb-2014 00:00:00,NaN,899.979671053732,NaN,NaN,1083,1296,0,0,9.10444967074318,-3.74577183089215,5.35867783985102,296.065333960489,6.8341935378325,313.411949432585,345.997885235444,5.42335277516463,1.24640036031921,-6.09631497481575,0,0,0,0
01-Feb-2014 12:00:00,NaN,1150.3376578786,NaN,NaN,675,1157,0,0,9.91319083969466,-7.27767670087717,2.63551413881748,294.993053435115,6.53804904280474,312.765426201103,22.5293717010101,11.056493129771,NaN,NaN,0,0,0,0
02-Feb-2014 00:00:00,NaN,4948.25580448112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
02-Feb-2014 12:00:00,NaN,2627.87592336112,NaN,NaN,2105,2373,1,1,NaN,NaN,NaN,NaN,NaN,NaN,289.478592112384,11.018212470024,-0.142833607514961,-0.622592566101673,0,0,0,0
03-Feb-2014 00:00:00,NaN,1516.3843912608,NaN,NaN,1098,1378,0,0,7.04358998144713,-3.47294063079777,3.57064935064935,291.666743970315,10.0751690820921,311.433867978879,73.7813780904739,15.3048506493506,-1.84050505050505,-4.60707070707076,0,0,0,0
03-Feb-2014 12:00:00,NaN,2875.65270147233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
04-Feb-2014 00:00:00,NaN,1645.3695774543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
04-Feb-2014 12:00:00,NaN,2270.003608531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
05-Feb-2014 00:00:00,NaN,1151.21024616167,NaN,NaN,192,553,0,0,9.81825581395349,-1.96381085982505,7.85444495412844,294.704651162791,8.61609777479401,313.264912648193,349.075105765569,4.73955813953488,NaN,NaN,0,0,0,0
05-Feb-2014 12:00:00,NaN,1156.01328894848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
06-Feb-2014 00:00:00,NaN,902.023679616148,NaN,NaN,640,978,0,0,10.4155887096774,-4.0276778972156,6.38791081246182,293.891935483871,10.375486600878,313.920701328301,305.471010972155,7.07413225806452,NaN,NaN,0,0,0,0
